"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/61533487/status/716437643626610688"	""	"0"	"Sun Apr 03 01:30:19 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"socraticjuan"	"@shaheerkhj talking shit to me in my mentions won't bring back Shaheer, you know."	"7510"	"893"	"Carolina del Norte"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/702805858875531266/status/716437828155150336"	""	"0"	"Sun Apr 03 01:31:03 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/YEmAyOqLde"	""	""	"celiacunter7"	"RT @lyhysydudop: Donald Trump's 22-Year-Old Daughter Is Ruling Instagram  https://t.co/YEmAyOqLde"	"782"	"4556"	"United States"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/701309220/status/716437782030381056"	""	"0"	"Sun Apr 03 01:30:52 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gu4nl8jGGq"	""	""	"oam_mymy"	"RT @Luke5SOS: When the tour is still 2 days away but you're ready now https://t.co/gu4nl8jGGq"	"1285"	"1916"	""	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/27085281/status/716437794604785665"	""	"0"	"Sun Apr 03 01:30:55 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"mirandahasaface"	"@ma_kaylaaa_xx I invited mom!!!"	"404"	"378"	"hades "	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/3701089275/status/716437685561372672"	""	"0"	"Sun Apr 03 01:30:29 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"CristalVera_D"	"me canse"	"83"	"298"	""	""	""
"http://twitter.com/2612507219/status/716437840763228160"	""	"0"	"Sun Apr 03 01:31:06 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"HopeHazell"	"Didn't even care enough."	"80"	"192"	"Wherever you're not "	"Dublin"	"3600"
"http://twitter.com/3167188017/status/716437735901380610"	""	"0"	"Sun Apr 03 01:30:41 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/sBwXsEyvVY"	""	""	"1stClassLosers"	"DAMN GURL U GO!!🔥🔥😍 https://t.co/sBwXsEyvVY"	"170"	"149"	""	""	""
"http://twitter.com/172899774/status/716437765236269057"	""	"0"	"Sun Apr 03 01:30:48 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/Q7aPxTAxlb"	""	""	"lyndseycooper15"	"RT @ASABetaMu: Take us out to the ballgame! If you haven't heard of Miracle League, you should check it out! ❤️⚾️ https://t.co/Q7aPxTAxlb"	"772"	"613"	"Henderson State"	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/3188144880/status/716437790406217728"	""	"0"	"Sun Apr 03 01:30:54 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/z4gGj0cFcf"	""	""	"CandyHoijer"	"Lake Baringo - Water crossing on Road to Lake Baringo in #Kenya https://t.co/z4gGj0cFcf"	"216"	"4580"	""	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/745235587/status/716437660374589440"	""	"0"	"Sun Apr 03 01:30:23 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/u2f2yu7ULb"	""	""	"NewBooks4You"	"Nothing ever happens in Junction City, until Michael Barron arrives with six year-old Emma. #thriller https://t.co/u2f2yu7ULb"	"9516"	"9978"	"Ireland"	"Amsterdam"	"7200"
